category,chapter,axis,confidence,outcome,score
1A,1,Duration,med,VIOLATED,1.5
1A,1,Register,med,PARTIAL,1
1A,1,Concreteness,med,CONFIRMED,0
1A,1,Interiority,med,PARTIAL,1
1A,1,Attention,med,VIOLATED,1.5
1A,1,Silence,med,CONFIRMED,0
1A,1,Signature,med,CONFIRMED,0
1A,2,Duration,high,VIOLATED,2
1A,2,Register,high,CONFIRMED,0
1A,2,Concreteness,high,CONFIRMED,0
1A,2,Interiority,high,CONFIRMED,0
1A,2,Attention,high,PARTIAL,1
1A,2,Silence,high,CONFIRMED,0
1A,2,Signature,high,CONFIRMED,0
1A,3,Duration,high,PARTIAL,1
1A,3,Register,high,CONFIRMED,0
1A,3,Concreteness,high,CONFIRMED,0
1A,3,Interiority,high,CONFIRMED,0
1A,3,Attention,high,CONFIRMED,0
1A,3,Silence,high,CONFIRMED,0
1A,3,Signature,high,CONFIRMED,0
1A,4,Duration,high,CONFIRMED,0
1A,4,Register,high,CONFIRMED,0
1A,4,Concreteness,high,CONFIRMED,0
1A,4,Interiority,high,CONFIRMED,0
1A,4,Attention,high,PARTIAL,1
1A,4,Silence,high,CONFIRMED,0
1A,4,Signature,high,CONFIRMED,0
1A,5,Duration,med,CONFIRMED,0
1A,5,Register,med,CONFIRMED,0
1A,5,Concreteness,med,CONFIRMED,0
1A,5,Interiority,med,CONFIRMED,0
1A,5,Attention,med,CONFIRMED,0
1A,5,Silence,med,CONFIRMED,0
1A,5,Signature,med,CONFIRMED,0
1A,6,Duration,high,CONFIRMED,0
1A,6,Register,high,CONFIRMED,0
1A,6,Concreteness,high,CONFIRMED,0
1A,6,Interiority,high,CONFIRMED,0
1A,6,Attention,high,PARTIAL,1
1A,6,Silence,high,CONFIRMED,0
1A,6,Signature,high,CONFIRMED,0
1A,7,Duration,high,VIOLATED,2
1A,7,Register,high,CONFIRMED,0
1A,7,Concreteness,high,CONFIRMED,0
1A,7,Interiority,high,CONFIRMED,0
1A,7,Attention,high,PARTIAL,1
1A,7,Silence,high,CONFIRMED,0
1A,7,Signature,high,CONFIRMED,0
1A,8,Duration,high,CONFIRMED,0
1A,8,Register,high,VIOLATED,2
1A,8,Concreteness,high,PARTIAL,1
1A,8,Interiority,high,VIOLATED,2
1A,8,Attention,high,VIOLATED,2
1A,8,Silence,high,PARTIAL,1
1A,8,Signature,high,PARTIAL,1
1A,9,Duration,high,CONFIRMED,0
1A,9,Register,high,CONFIRMED,0
1A,9,Concreteness,high,CONFIRMED,0
1A,9,Interiority,high,CONFIRMED,0
1A,9,Attention,high,PARTIAL,1
1A,9,Silence,high,CONFIRMED,0
1A,9,Signature,high,CONFIRMED,0
1A,10,Duration,high,CONFIRMED,0
1A,10,Register,high,CONFIRMED,0
1A,10,Concreteness,high,CONFIRMED,0
1A,10,Interiority,high,CONFIRMED,0
1A,10,Attention,high,CONFIRMED,0
1A,10,Silence,high,CONFIRMED,0
1A,10,Signature,high,CONFIRMED,0
1A,11,Duration,high,VIOLATED,2
1A,11,Register,high,CONFIRMED,0
1A,11,Concreteness,high,CONFIRMED,0
1A,11,Interiority,high,VIOLATED,2
1A,11,Attention,high,PARTIAL,1
1A,11,Silence,high,PARTIAL,1
1A,11,Signature,high,CONFIRMED,0
1A,12,Duration,,N/A,
1A,12,Register,,N/A,
1A,12,Concreteness,,N/A,
1A,12,Interiority,,N/A,
1A,12,Attention,,N/A,
1A,12,Silence,,N/A,
1A,12,Signature,,N/A,
1B,1,Duration,high,CONFIRMED,0
1B,1,Register,high,CONFIRMED,0
1B,1,Concreteness,high,CONFIRMED,0
1B,1,Interiority,high,CONFIRMED,0
1B,1,Attention,high,PARTIAL,1
1B,1,Silence,high,CONFIRMED,0
1B,1,Signature,high,CONFIRMED,0
1B,2,Duration,high,VIOLATED,2
1B,2,Register,high,CONFIRMED,0
1B,2,Concreteness,high,CONFIRMED,0
1B,2,Interiority,high,CONFIRMED,0
1B,2,Attention,high,PARTIAL,1
1B,2,Silence,high,CONFIRMED,0
1B,2,Signature,high,CONFIRMED,0
1B,3,Duration,high,CONFIRMED,0
1B,3,Register,high,CONFIRMED,0
1B,3,Concreteness,high,CONFIRMED,0
1B,3,Interiority,high,CONFIRMED,0
1B,3,Attention,high,CONFIRMED,0
1B,3,Silence,high,CONFIRMED,0
1B,3,Signature,high,CONFIRMED,0
1B,4,Duration,high,VIOLATED,2
1B,4,Register,high,CONFIRMED,0
1B,4,Concreteness,high,CONFIRMED,0
1B,4,Interiority,high,CONFIRMED,0
1B,4,Attention,high,PARTIAL,1
1B,4,Silence,high,CONFIRMED,0
1B,4,Signature,high,CONFIRMED,0
1B,5,Duration,high,VIOLATED,2
1B,5,Register,high,CONFIRMED,0
