opaque_id,unit_id,category,chapter
u001,1A__ch1,1A,1
u002,1A__ch2,1A,2
u003,1A__ch3,1A,3
u004,1A__ch4,1A,4
u005,1A__ch5,1A,5
u006,1A__ch6,1A,6
u007,1A__ch7,1A,7
u008,1A__ch8,1A,8
u009,1A__ch9,1A,9
u010,1A__ch10,1A,10
u011,1A__ch11,1A,11
u012,1A__ch12,1A,12
u013,1B__ch1,1B,1
u014,1B__ch2,1B,2
u015,1B__ch3,1B,3
u016,1B__ch4,1B,4
u017,1B__ch5,1B,5
u018,1B__ch6,1B,6
u019,1B__ch7,1B,7
u020,1B__ch8,1B,8
u021,1B__ch9,1B,9
u022,1B__ch10,1B,10
u023,1B__ch11,1B,11
u024,1B__ch12,1B,12
u025,1C__ch1,1C,1
u026,1C__ch2,1C,2
u027,1C__ch3,1C,3
u028,1C__ch4,1C,4
u029,1C__ch5,1C,5
u030,1C__ch6,1C,6
u031,1C__ch7,1C,7
u032,1C__ch8,1C,8
u033,1C__ch9,1C,9
u034,1C__ch10,1C,10
u035,1C__ch11,1C,11
u036,1C__ch12,1C,12
u037,2__ch1,2,1
u038,2__ch2,2,2
u039,2__ch3,2,3
u040,2__ch4,2,4
u041,2__ch5,2,5
u042,2__ch6,2,6
u043,2__ch7,2,7
u044,2__ch8,2,8
u045,2__ch9,2,9
u046,2__ch10,2,10
u047,2__ch11,2,11
u048,2__ch12,2,12
u049,3__ch1,3,1
u050,3__ch2,3,2
u051,3__ch3,3,3
u052,3__ch4,3,4
u053,3__ch5,3,5
u054,3__ch6,3,6
u055,3__ch7,3,7
u056,3__ch8,3,8
u057,3__ch9,3,9
u058,3__ch10,3,10
u059,3__ch11,3,11
u060,3__ch12,3,12
u061,4.1__ch1,4.1,1
u062,4.1__ch2,4.1,2
u063,4.1__ch3,4.1,3
u064,4.1__ch4,4.1,4
u065,4.1__ch5,4.1,5
u066,4.1__ch6,4.1,6
u067,4.1__ch7,4.1,7
u068,4.1__ch8,4.1,8
u069,4.1__ch9,4.1,9
u070,4.1__ch10,4.1,10
u071,4.1__ch11,4.1,11
u072,4.1__ch12,4.1,12
u073,4.2__ch1,4.2,1
u074,4.2__ch2,4.2,2
u075,4.2__ch3,4.2,3
u076,4.2__ch4,4.2,4
u077,4.2__ch5,4.2,5
u078,4.2__ch6,4.2,6
u079,4.2__ch7,4.2,7
u080,4.2__ch8,4.2,8
u081,4.2__ch9,4.2,9
u082,4.2__ch10,4.2,10
u083,4.2__ch11,4.2,11
u084,4.2__ch12,4.2,12
u085,4.3__ch1,4.3,1
u086,4.3__ch2,4.3,2
u087,4.3__ch3,4.3,3
u088,4.3__ch4,4.3,4
u089,4.3__ch5,4.3,5
u090,4.3__ch6,4.3,6
u091,4.3__ch7,4.3,7
u092,4.3__ch8,4.3,8
u093,4.3__ch9,4.3,9
u094,4.3__ch10,4.3,10
u095,4.3__ch11,4.3,11
u096,4.3__ch12,4.3,12
u097,4.4__ch1,4.4,1
u098,4.4__ch2,4.4,2
u099,4.4__ch3,4.4,3
u100,4.4__ch4,4.4,4
u101,4.4__ch5,4.4,5
u102,4.4__ch6,4.4,6
u103,4.4__ch7,4.4,7
u104,4.4__ch8,4.4,8
u105,4.4__ch9,4.4,9
u106,4.4__ch10,4.4,10
u107,4.4__ch11,4.4,11
u108,4.4__ch12,4.4,12
u109,4.5__ch1,4.5,1
u110,4.5__ch2,4.5,2
u111,4.5__ch3,4.5,3
u112,4.5__ch4,4.5,4
u113,4.5__ch5,4.5,5
u114,4.5__ch6,4.5,6
u115,4.5__ch7,4.5,7
u116,4.5__ch8,4.5,8
u117,4.5__ch9,4.5,9
u118,4.5__ch10,4.5,10
u119,4.5__ch11,4.5,11
u120,4.5__ch12,4.5,12
u121,4.6__ch1,4.6,1
u122,4.6__ch2,4.6,2
u123,4.6__ch3,4.6,3
u124,4.6__ch4,4.6,4
u125,4.6__ch5,4.6,5
u126,4.6__ch6,4.6,6
u127,4.6__ch7,4.6,7
u128,4.6__ch8,4.6,8
u129,4.6__ch9,4.6,9
u130,4.6__ch10,4.6,10
u131,4.6__ch11,4.6,11
u132,4.6__ch12,4.6,12
u133,4.7__ch1,4.7,1
u134,4.7__ch2,4.7,2
u135,4.7__ch3,4.7,3
u136,4.7__ch4,4.7,4
u137,4.7__ch5,4.7,5
u138,4.7__ch6,4.7,6
u139,4.7__ch7,4.7,7
u140,4.7__ch8,4.7,8
u141,4.7__ch9,4.7,9
u142,4.7__ch10,4.7,10
u143,4.7__ch11,4.7,11
u144,4.7__ch12,4.7,12
u145,4.8__ch1,4.8,1
u146,4.8__ch2,4.8,2
u147,4.8__ch3,4.8,3
u148,4.8__ch4,4.8,4
u149,4.8__ch5,4.8,5
u150,4.8__ch6,4.8,6
u151,4.8__ch7,4.8,7
u152,4.8__ch8,4.8,8
u153,4.8__ch9,4.8,9
u154,4.8__ch10,4.8,10
u155,4.8__ch11,4.8,11
u156,4.8__ch12,4.8,12
u157,4.9__ch1,4.9,1
u158,4.9__ch2,4.9,2
u159,4.9__ch3,4.9,3
u160,4.9__ch4,4.9,4
u161,4.9__ch5,4.9,5
u162,4.9__ch6,4.9,6
u163,4.9__ch7,4.9,7
u164,4.9__ch8,4.9,8
u165,4.9__ch9,4.9,9
u166,4.9__ch10,4.9,10
u167,4.9__ch11,4.9,11
u168,4.9__ch12,4.9,12
u169,4.10__ch1,4.10,1
u170,4.10__ch2,4.10,2
u171,4.10__ch3,4.10,3
u172,4.10__ch4,4.10,4
u173,4.10__ch5,4.10,5
u174,4.10__ch6,4.10,6
u175,4.10__ch7,4.10,7
u176,4.10__ch8,4.10,8
u177,4.10__ch9,4.10,9
u178,4.10__ch10,4.10,10
u179,4.10__ch11,4.10,11
u180,4.10__ch12,4.10,12
u181,4.11__ch1,4.11,1
u182,4.11__ch2,4.11,2
u183,4.11__ch3,4.11,3
u184,4.11__ch4,4.11,4
u185,4.11__ch5,4.11,5
u186,4.11__ch6,4.11,6
u187,4.11__ch7,4.11,7
u188,4.11__ch8,4.11,8
u189,4.11__ch9,4.11,9
u190,4.11__ch10,4.11,10
u191,4.11__ch11,4.11,11
u192,4.11__ch12,4.11,12
u193,4.12__ch1,4.12,1
u194,4.12__ch2,4.12,2
u195,4.12__ch3,4.12,3
u196,4.12__ch4,4.12,4
u197,4.12__ch5,4.12,5
u198,4.12__ch6,4.12,6
u199,4.12__ch7,4.12,7
u200,4.12__ch8,4.12,8
u201,4.12__ch9,4.12,9
u202,4.12__ch10,4.12,10
u203,4.12__ch11,4.12,11
u204,4.12__ch12,4.12,12
u205,5__ch1,5,1
u206,5__ch2,5,2
u207,5__ch3,5,3
u208,5__ch4,5,4
u209,5__ch5,5,5
u210,5__ch6,5,6
u211,5__ch7,5,7
u212,5__ch8,5,8
u213,5__ch9,5,9
u214,5__ch10,5,10
u215,5__ch11,5,11
u216,5__ch12,5,12
u217,6__ch1,6,1
u218,6__ch2,6,2
u219,6__ch3,6,3
u220,6__ch4,6,4
u221,6__ch5,6,5
u222,6__ch6,6,6
u223,6__ch7,6,7
u224,6__ch8,6,8
u225,6__ch9,6,9
u226,6__ch10,6,10
u227,6__ch11,6,11
u228,6__ch12,6,12
