unit_id,category,chapter,is_stub,status,dispatched_at,completed_at
1C__ch1,1C,1,0,completed,2026-07-06T17:32:49Z,2026-07-06T17:32:49Z
4.3__ch1,4.3,1,0,completed,2026-07-06T17:32:49Z,2026-07-06T17:32:49Z
6__ch1,6,1,0,completed,2026-07-06T17:32:49Z,2026-07-06T17:32:49Z
1A__ch1,1A,1,0,completed,2026-07-06T18:09:44Z,2026-07-06T18:09:44Z
1A__ch2,1A,2,,completed,2026-07-06T18:15:25Z,2026-07-06T18:15:25Z
1A__ch3,1A,3,,completed,2026-07-06T18:15:25Z,2026-07-06T18:15:25Z
1A__ch4,1A,4,,completed,2026-07-06T18:15:25Z,2026-07-06T18:15:25Z
1A__ch5,1A,5,,completed,2026-07-06T18:15:25Z,2026-07-06T18:15:25Z
1A__ch6,1A,6,,completed,2026-07-06T18:15:25Z,2026-07-06T18:15:25Z
1A__ch7,1A,7,,completed,2026-07-06T18:15:25Z,2026-07-06T18:15:25Z
1A__ch8,1A,8,,completed,2026-07-06T18:15:25Z,2026-07-06T18:15:25Z
1A__ch9,1A,9,,completed,2026-07-06T18:15:25Z,2026-07-06T18:15:25Z
1A__ch10,1A,10,,completed,2026-07-06T18:15:25Z,2026-07-06T18:15:25Z
1A__ch11,1A,11,,completed,2026-07-06T18:15:25Z,2026-07-06T18:15:25Z
1A__ch12,1A,12,,completed,2026-07-06T18:15:25Z,2026-07-06T18:15:25Z
1B__ch1,1B,1,,completed,2026-07-06T18:15:25Z,2026-07-06T18:15:25Z
1B__ch2,1B,2,,completed,2026-07-06T18:18:08Z,2026-07-06T18:18:08Z
1B__ch3,1B,3,,completed,2026-07-06T18:18:08Z,2026-07-06T18:18:08Z
1B__ch4,1B,4,,completed,2026-07-06T18:18:08Z,2026-07-06T18:18:08Z
1B__ch5,1B,5,,completed,2026-07-06T18:18:08Z,2026-07-06T18:18:08Z
1B__ch6,1B,6,,completed,2026-07-06T18:18:08Z,2026-07-06T18:18:08Z
1B__ch7,1B,7,,completed,2026-07-06T18:18:08Z,2026-07-06T18:18:08Z
1B__ch8,1B,8,,completed,2026-07-06T18:18:08Z,2026-07-06T18:18:08Z
1B__ch9,1B,9,,completed,2026-07-06T18:18:08Z,2026-07-06T18:18:08Z
1B__ch10,1B,10,,completed,2026-07-06T18:18:08Z,2026-07-06T18:18:08Z
1B__ch11,1B,11,,completed,2026-07-06T18:18:08Z,2026-07-06T18:18:08Z
